location,name,level,imgurl
Asia,Afghanistan,country,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg
Europe,Albania,country,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg
Africa,Algeria,country,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg
Europe,Andorra,country,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg
Africa,Angola,country,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg
North America,Antigua and Barbuda,country,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg
South America,Argentina,country,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg
Europe,Armenia,country,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg
Oceania,Australia,country,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg
Europe,Austria,country,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg
Europe,Azerbaijan,country,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg
North America,Bahamas,country,https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg
Asia,Bahrain,country,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg
Asia,Bangladesh,country,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg
North America,Barbados,country,https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg
Europe,Belarus,country,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg
Europe,Belgium,country,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg
North America,Belize,country,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg
Africa,Benin,country,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg
Asia,Bhutan,country,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg
South America,Bolivia,country,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_Bolivia_%28state%29.svg
Europe,Bosnia and Herzegovina,country,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg
Africa,Botswana,country,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg
South America,Brazil,country,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg
Asia,Brunei,country,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg
Europe,Bulgaria,country,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg
Africa,Burkina Faso,country,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg
Asia,Myanmar (Burma),country,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg
Africa,Burundi,country,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg
Asia,Cambodia,country,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
Africa,Cameroon,country,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg
North America,Canada,country,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
Africa,Cape Verde,country,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg
Africa,Central African Republic,country,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg
Africa,Chad,country,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg
South America,Chile,country,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg
Asia,China,country,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg
South America,Colombia,country,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg
Africa,Comoros,country,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg
Africa,Congo,country,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_the_Republic_of_the_Congo.svg
Africa,"Congo, Democratic Republic of",country,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg
North America,Costa Rica,country,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg
Europe,Croatia,country,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg
North America,Cuba,country,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
Europe,Cyprus,country,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg
Europe,Czech Republic,country,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg
Europe,Denmark,country,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg
Africa,Djibouti,country,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg
North America,Dominica,country,https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg
North America,Dominican Republic,country,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg
Asia,East Timor,country,https://upload.wikimedia.org/wikipedia/commons/2/26/Flag_of_East_Timor.svg
South America,Ecuador,country,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg
Africa,Egypt,country,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg
North America,El Salvador,country,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg
Africa,Equatorial Guinea,country,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg
Africa,Eritrea,country,https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Eritrea.svg
Europe,Estonia,country,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg
Africa,Ethiopia,country,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Oceania,Fiji,country,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg
Europe,Finland,country,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg
Europe,France,country,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg
Africa,Gabon,country,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg
Africa,Gambia,country,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg
Europe,Georgia,country,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg
Europe,Germany,country,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg
Africa,Ghana,country,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg
Europe,Greece,country,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg
North America,Grenada,country,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg
North America,Guatemala,country,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg
Africa,Guinea,country,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg
Africa,Guinea-Bissau,country,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg
South America,Guyana,country,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg
North America,Haiti,country,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg
North America,Honduras,country,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg
Europe,Hungary,country,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg
Europe,Iceland,country,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg
Asia,India,country,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg
Asia,Indonesia,country,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg
Asia,Iran,country,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg
Asia,Iraq,country,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg
Europe,Ireland,country,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg
Asia,Israel,country,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg
Europe,Italy,country,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg
Africa,Ivory Coast,country,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg
North America,Jamaica,country,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg
Asia,Japan,country,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg
Asia,Jordan,country,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg
Asia,Kazakhstan,country,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg
Africa,Kenya,country,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg
Oceania,Kiribati,country,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg
Asia,North Korea,country,https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg
Asia,South Korea,country,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg
Asia,Kuwait,country,https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg
Asia,Kyrgyzstan,country,https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Kyrgyzstan.svg
Asia,Laos,country,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg
Europe,Latvia,country,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg
Asia,Lebanon,country,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg
Africa,Lesotho,country,https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg
Africa,Liberia,country,https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg
Africa,Libya,country,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg
Europe,Liechtenstein,country,https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg
Europe,Lithuania,country,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg
Europe,Luxembourg,country,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg
Europe,Macedonia,country,https://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_Macedonia.svg
Africa,Madagascar,country,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg
Africa,Malawi,country,https://upload.wikimedia.org/wikipedia/commons/d/d1/Flag_of_Malawi.svg
Asia,Malaysia,country,https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg
Asia,Maldives,country,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Maldives.svg
Africa,Mali,country,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg
Europe,Malta,country,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg
Oceania,Marshall Islands,country,https://upload.wikimedia.org/wikipedia/commons/2/2e/Flag_of_the_Marshall_Islands.svg
Africa,Mauritania,country,https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg
Africa,Mauritius,country,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg
North America,Mexico,country,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg
Oceania,Micronesia,country,https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg
Europe,Moldova,country,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg
Europe,Monaco,country,https://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_Monaco.svg
Asia,Mongolia,country,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg
Europe,Montenegro,country,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg
Africa,Morocco,country,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg
Africa,Mozambique,country,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg
Africa,Namibia,country,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg
Oceania,Nauru,country,https://upload.wikimedia.org/wikipedia/commons/3/30/Flag_of_Nauru.svg
Asia,Nepal,country,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg
Europe,Netherlands,country,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg
Oceania,New Zealand,country,https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
North America,Nicaragua,country,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Nicaragua.svg
Africa,Niger,country,https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg
Africa,Nigeria,country,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg
Europe,Norway,country,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg
Asia,Oman,country,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Oman.svg
Asia,Pakistan,country,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg
Oceania,Palau,country,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Palau.svg
North America,Panama,country,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg
Oceania,Papua New Guinea,country,https://upload.wikimedia.org/wikipedia/commons/e/e3/Flag_of_Papua_New_Guinea.svg
South America,Paraguay,country,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg
South America,Peru,country,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg
Asia,Philippines,country,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg
Europe,Poland,country,https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg
Europe,Portugal,country,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg
Asia,Qatar,country,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg
Europe,Romania,country,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg
Asia,Russia,country,https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg
Africa,Rwanda,country,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Rwanda.svg
North America,Saint Kitts and Nevis,country,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg
North America,Saint Lucia,country,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Saint_Lucia.svg
North America,Saint Vincent and the Grenadines,country,https://upload.wikimedia.org/wikipedia/commons/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg
Oceania,Samoa,country,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Samoa.svg
Europe,San Marino,country,https://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_San_Marino.svg
Africa,Sao Tome and Principe,country,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Asia,Saudi Arabia,country,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg
Africa,Senegal,country,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg
Europe,Serbia,country,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg
Africa,Seychelles,country,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Seychelles.svg
Africa,Sierra Leone,country,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg
Asia,Singapore,country,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg
Europe,Slovakia,country,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg
Europe,Slovenia,country,https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg
Oceania,Solomon Islands,country,https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg
Africa,Somalia,country,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg
Africa,South Africa,country,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg
Africa,South Sudan,country,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_South_Sudan.svg
Europe,Spain,country,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg
Asia,Sri Lanka,country,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg
Africa,Sudan,country,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg
South America,Suriname,country,https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg
Africa,Swaziland,country,https://upload.wikimedia.org/wikipedia/commons/1/1e/Flag_of_Swaziland.svg
Europe,Sweden,country,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg
Europe,Switzerland,country,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg
Asia,Syria,country,https://upload.wikimedia.org/wikipedia/commons/5/53/Flag_of_Syria.svg
Asia,Tajikistan,country,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg
Africa,Tanzania,country,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tanzania.svg
Asia,Thailand,country,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg
Africa,Togo,country,https://upload.wikimedia.org/wikipedia/commons/6/68/Flag_of_Togo.svg
Oceania,Tonga,country,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg
North America,Trinidad and Tobago,country,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg
Africa,Tunisia,country,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg
Asia,Turkey,country,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg
Asia,Turkmenistan,country,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg
Oceania,Tuvalu,country,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tuvalu.svg
Africa,Uganda,country,https://upload.wikimedia.org/wikipedia/commons/4/4e/Flag_of_Uganda.svg
Europe,Ukraine,country,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
Asia,United Arab Emirates,country,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg
Europe,United Kingdom,country,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg
North America,United States,country,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
South America,Uruguay,country,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg
Asia,Uzbekistan,country,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg
Oceania,Vanuatu,country,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Vanuatu.svg
Europe,Vatican City,country,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_the_Vatican_City.svg
South America,Venezuela,country,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg
Asia,Vietnam,country,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg
Asia,Yemen,country,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg
Africa,Zambia,country,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg
Africa,Zimbabwe,country,https://upload.wikimedia.org/wikipedia/commons/6/6a/Flag_of_Zimbabwe.svg
